,FINN-kode,Title,Address,Prisantydning,lat,lng,url,Omkostninger,Totalpris,Kommunale avg.,Boligtype,Eieform,Soverom,Primærrom,Bruksareal,Byggeår,Energimerking,Rom,Tomteareal,Bruttoareal,Eierskifte-forsikring,Formuesverdi,Søn.,,Tir.,Felleskost/mnd.,Etasje,Man.,Fellesgjeld,Ons.,Mobil,Fellesformue,Tomt,Tor.,Telefon,Fax,Renovert år,Festeavgift,Felleskost/mnd. etter avdragsfri periode,Pris med fellesgjeld,Verditakst,Sikringsordning,Grunnflate,Lør.,Låneverdi,Fre.,Solgtpris,Lånetakst,Utleiedel,price,area,price_per_m2,predicted_price,priceyness
21,176515028,Attraktiv 1-roms med sovealkove - Innglasset balkong på 11 kvm - Vv og fyring inkl - Heis - Kort vei til off. transport!,"Ammerudgrenda 172, 0960 Oslo",1790000.0,59.9651,10.8794,https://www.finn.no/realestate/homes/ad.html?finnkode=176515028,8699.0,1940699.0,,Leilighet,Andel,0,31.0,42.0,1967,E - lysegrønn,1,13168.0,46.0,,464932.0,,17:00 - 18:00,,2835.0,3,4. mai,142000.0,,,26491.0,,,,,,,,,,,,,,,,,,1940699.0,42.0,46207.119047619046,3425522.702440436,-0.5682058564633152
22,172928016,Strøken og innholdsrik 5-roms m/ luftig beliggenhet. Solrik balkong! 2 bad! Mulighet for utleie! Garasjeplass m/el-lader,"Sinsenveien 43, 0585 Oslo",7690000.0,59.9325,10.7899,https://www.finn.no/realestate/homes/ad.html?finnkode=172928016,193642.0,7885834.0,,Leilighet,Eier (Selveier),4,99.0,102.0,2015,D - mørkegrønn,5,1815.0,112.0,,,,16:30 - 17:30,,4184.0,4,,2192.0,29. april,988 09 826,47529.0,,,,,,,,,,,,,,,,,,7885834.0,102.0,77312.09803921569,7336962.191752087,0.07214309864696666
23,173337418,"Moderne 3roms selveierleil. i 2. etasje med balkong, garasje m/elbillader og heis. Felles takterrasse med panorama.","Messepromenaden 4, 0279 Oslo",6350000.0,59.9208,10.681,https://www.finn.no/realestate/homes/ad.html?finnkode=173337418,160142.0,6513085.0,,Leilighet,Eier (Selveier),2,67.0,69.0,2006,C - mørkegrønn,3,1717.0,76.0,,1397902.0,,16:30 - 17:30,,3723.0,2,,2943.0,29. april,984 38 768,9581.0,,,,,,,,,,,,,,,,,,6513085.0,69.0,94392.53623188406,5185670.472630679,0.2279140869247378
24,173625381,Rålekker 3-roms fra 2017 med 2 balkonger - Garasjeplass m/lader - Nostalgisk beliggenhet v/trehusbebyggelse,"Fjellgata 30A, 0566 Oslo",7100000.0,59.926334,10.771844,https://www.finn.no/realestate/homes/ad.html?finnkode=173625381,189070.0,7289070.0,,Leilighet,Eier (Selveier),2,85.0,88.0,2017,E - mørkegrønn,3,4257.0,97.0,Ja,1630065.0,,1600 - 1800,,3788.0,2,,,29. april,,2435.0,,,,,,,,,,,,,,,,,,7289070.0,88.0,82830.34090909091,6424292.977579368,0.12628938354002806
25,176585377,Meget attraktiv og klassisk 5-r m populær beliggenhet! Solrik balkong. 3 sov. Klassiske detaljer. Prisbelønnet bakgård.,"Langes gate 13, 0165 Oslo",9000000.0,59.9199,10.7399,https://www.finn.no/realestate/homes/ad.html?finnkode=176585377,8032.0,9386681.0,,Leilighet,Andel,3,140.0,140.0,1892,G - mørkegrønn,5,,152.0,,2223351.0,3. mai,12:00 - 13:00,,6847.0,3,,378649.0,,,,Eiet,30. april,,,,,,,,,,,,,,,,9386681.0,140.0,67047.72142857143,9814207.201649467,-0.04453928069985835
26,176604280,Bo godt på Toppåsen: Stor 4-roms endeleilighet med solrik vestvendt balkong og flott utsikt! Heis og garasjeplass.,"Høgåsveien 50, 1259 Oslo",3400000.0,59.83033,10.800435,https://www.finn.no/realestate/homes/ad.html?finnkode=176604280,15385.0,3463933.0,,Leilighet,Andel,3,89.0,94.0,1990,E - lysegrønn,4,14600.0,103.0,Ja,971672.0,,1700 - 1800,,4514.0,1,4. mai,48548.0,,,44798.0,,,,,,,,,,,,,,,,,,3463933.0,94.0,36850.35106382979,6815436.926510534,-0.6767855268556637
27,139097671,"Solveien - Innholdsrik og nylig påkostet enebolig med sekundærleilighet. Stor, solrik tomt med romslig hage og utsyn","Solveien 54, 1170 Oslo",17900000.0,59.873013,10.784189,https://www.finn.no/realestate/homes/ad.html?finnkode=139097671,463170.0,18363170.0,22588.0,Enebolig,Eier (Selveier),4,293.0,307.0,1971,F - oransje,,1112.0,331.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18363170.0,307.0,59814.88599348534,20701047.113566898,-0.11983725594765815
28,176596410,SOFIENBERGPARKEN SOM NÆRMESTE NABO? - NYDELIG 3(4) R. M/BALKONG I INDRE GÅRD - NYTT BAD & KJØKKEN 2020 - BLINDVEI!,"Grüners gate 16 , Krembeliggenhet, 0552 Oslo",5490000.0,59.923706,10.760609,https://www.finn.no/realestate/homes/ad.html?finnkode=176596410,145492.0,5635492.0,,Leilighet,Eier (Selveier),2,67.0,67.0,1875,,,662.0,75.0,Ja,,,1600 - 1700,,2791.0,3,,,29. april,,,,,,,,,,,,,,,,,,,,5635492.0,67.0,84111.82089552238,5055289.156320291,0.10864940224857378
29,175183806,Lys og luftig 3-roms topp-/hjørneleilighet. Sørvendt balkong på 8 kvm med gode solforhold. Peis. Attraktiv beliggenhet.,"Lillebergsvingen 2, 0662 Oslo",3980000.0,59.918415,10.797782,https://www.finn.no/realestate/homes/ad.html?finnkode=175183806,15885.0,4132961.0,,Leilighet,Andel,2,66.0,66.0,1953,E - rød,,,,Ja,1114465.0,26. april,1630 - 1730,,4220.0,3,27. april,137076.0,,,26604.0,Eiet,,,,,,,,,,,,,,,,,4132961.0,66.0,62620.621212121216,4990098.498165096,-0.18846154943964066
30,176592319,Fin 4-roms hjørneleilighet med store vindusflater i anerkjent funkisgård. Moderniseringsbehov. Sjarmerende felles hage!,"Skovveien 7, 0257 Oslo",6200000.0,59.9166,10.717,https://www.finn.no/realestate/homes/ad.html?finnkode=176592319,160917.0,6544675.0,,Leilighet,Eier (Selveier),3,80.0,80.0,1937,G - mørkegrønn,4,640.0,88.0,,1645733.0,,17:00 - 18:00,,4440.0,2,,183758.0,29. april,,40160.0,,,,,,,,,,,,,,,,,,6544675.0,80.0,81808.4375,5902767.712337815,0.10323039719986404
31,176558271,"Flott og lys 4-roms leilighet over 2 plan med panoramautsikt, terrasse, garasje m/el-lader. Meget barnevennlig!","Hellerudgrenda 65E, 0672 Oslo",5600000.0,59.9109,10.858184,https://www.finn.no/realestate/homes/ad.html?finnkode=176558271,12557.0,5700743.0,,Leilighet,Andel,3,76.0,76.0,1985,,,46024.0,76.0,,,,18:00 - 20:00,,4402.0,,,88186.0,,,,,30. april,,,,,,,,,,,,,,,,5700743.0,76.0,75009.77631578948,5642005.079717038,0.010357004303580553
32,176558387,"Bjølsen: innbydende, oppgradert 2-roms med balkong, strålende utsikt og heis. Nyere kjøkken & bad (2012).","Mor Go'hjertas vei 23, 0469 Oslo",2340000.0,59.9425,10.765,https://www.finn.no/realestate/homes/ad.html?finnkode=176558387,86782.0,3199552.0,,Leilighet,Andel,1,32.0,32.0,1948,,2,2613.0,35.0,,,,16:00 - 17:00,,5602.0,4,27. april,772770.0,,,,,,,,,,,,,,,,,,,,,3199552.0,32.0,99986.0,2773616.120888494,0.1428588723714821
33,171108682,"Pen 2-roms med heis og en stor felles takterrasse - IN-lån (felleskost. etter IN kr 2655). Ikke forkjøp, lave omkost.","Trondheimsveien 5, 0560 Oslo",2240000.0,59.918392,10.761448,https://www.finn.no/realestate/homes/ad.html?finnkode=171108682,10360.0,3250792.0,,Leilighet,Andel,1,33.0,,1942,,,2780.0,37.0,Ja,684012.0,26. april,1400 - 1500,,7077.0,2,,1000432.0,,,,,,,,,,,,,,,,,,,,,3250792.0,33.0,98508.84848484848,2838806.779043688,0.13551484329912533
34,176404014,"Attraktiv, lys og romslig 3(4)-roms m/stor, innglasset balkong på 8 kvm. Nytt bad. Peis. Gjennomgående. 2.etg. Bør sees!","Erlends vei 17, 0669 Oslo",3750000.0,59.9177,10.8407,https://www.finn.no/realestate/homes/ad.html?finnkode=176404014,1161.0,3958161.0,,Leilighet,Andel,2,74.0,82.0,1964,E - rød,3,100020.0,90.0,,833140.0,,17:00 - 18:00,,4253.0,2,,207000.0,,,3514.0,,30. april,,,,,,,,,,,,,,,,3958161.0,82.0,48270.256097560974,6033149.028648203,-0.42148957793647845
35,176424438,Koselig 3-roms toppleilighet med balkong - Lave omk. - Nær marka,"Bølerlia 58, 0689 Oslo",3650000.0,59.8822,10.8541,https://www.finn.no/realestate/homes/ad.html?finnkode=176424438,1161.0,3717422.0,,Leilighet,Andel,2,64.0,68.0,1960,,3,,76.0,,850711.0,26. april,14:45 - 15:45,,2938.0,4,,66261.0,,,11519.0,,,,,,,,,,,,,,,,,,3717422.0,68.0,54667.970588235294,5120479.814475485,-0.3202177311358838
36,165390837,"Sjelden mulighet! Hel horisontaldelt tomannsbolig. Nærhet til marka, t-bane, off.kommunikasjon, skoler og barnehager.","Svingen terrasse 13, 0756 Oslo",11200000.0,59.9511,10.636,https://www.finn.no/realestate/homes/ad.html?finnkode=165390837,295342.0,11495342.0,16301.0,Tomannsbolig,Eier (Selveier),4,161.0,255.0,1954,G - oransje,8,719.0,274.0,,2943250.0,,16:00 - 17:00,,,4,,,29. april,,,,,,,,,,,,,,,,,,,,11495342.0,255.0,45079.77254901961,17311132.8894968,-0.4094079043191847
37,176476263,Uranienborg -Svært lekker 3-roms toppleilighet med vestvendt takterrasse på 9 kvm og egen 2 roms hybel.,"Ole Vigs gate 17, 0366 Oslo",8150000.0,59.9277,10.7213,https://www.finn.no/realestate/homes/ad.html?finnkode=176476263,213392.0,8363392.0,,Leilighet,Eier (Selveier),3,93.0,96.0,1892,G - rød,5,269.0,103.0,,,26. april,16:30 - 17:30,,3892.0,4,27. april,,,,,,,,,,,,,,,,,,,,,,8363392.0,96.0,87118.66666666667,6945818.242820922,0.1857242996253543
38,176503458,"Herskapelig villa, rehabilitert og ombygget i 2018. Solrik og flat tomt. Idyllisk have, dobbelgarasje og utleiedel.","Bestumveien 50, 0281 Oslo",27000000.0,59.921,10.6535,https://www.finn.no/realestate/homes/ad.html?finnkode=176503458,676342.0,27676342.0,28558.0,Enebolig,Eier (Selveier),5,352.0,490.0,1918,F - lysegrønn,,1412.0,544.0,,3820386.0,3. mai,13:00 - 15:00,,,,,,,948 39 929,,,,,,,,,,,,,,,,,,,27676342.0,490.0,56482.3306122449,32630937.555967435,-0.16468287429931294
39,174510892,"Velholdt, innholdsrik og sjarmerende enebolig over tre plan med garasje og stor hage - Barnevennlig - Kastellet skolekr.","Seterhøyveien 19, 1176 Oslo",11300000.0,59.8769,10.7959,https://www.finn.no/realestate/homes/ad.html?finnkode=174510892,283842.0,11583842.0,20089.0,Enebolig,Eier (Selveier),4,201.0,234.0,1959,G - oransje,6,806.0,270.0,,,,17:00 - 18:00,,,3,4. mai,,,909 20 937,,,,909 20 937,,,,,,,,,,,,,,,11583842.0,234.0,49503.59829059829,15942129.06823772,-0.3193540360386464
40,176501559,Spennende oppussingsobjekt - Balkong mot grøntområde - Attraktiv beliggenhet - Lave felleskostnader,"Glimmerveien 26, 1155 Oslo",3150000.0,59.8704,10.8171,https://www.finn.no/realestate/homes/ad.html?finnkode=176501559,15357.0,3260325.0,,Leilighet,Andel,2,65.0,77.0,1955,E - rød,3,87949.0,81.0,,1022345.0,26. april,14:00 - 15:00,,2890.0,2,,94968.0,,,21875.0,,,,,,,,,,,,,,,,,,3260325.0,77.0,42341.88311688312,5707195.737872233,-0.5599009051627153
41,169808535,"Strøken 4- roms hjørneleilighet med flott utsyn, solrikt og meget barnevennlig. Parkering og godt med lagringsplass","Munkerudveien 81 M, 1165 Oslo",4900000.0,59.852,10.815,https://www.finn.no/realestate/homes/ad.html?finnkode=169808535,123842.0,5112463.0,,Leilighet,Eier (Selveier),3,82.0,86.0,2004,E - rød,4,2817.0,94.0,,1309988.0,,17:30 - 18:30,28. april,3618.0,3,,88621.0,,,21248.0,,,,,,,,,,,,,,,,,,5112463.0,86.0,59447.24418604651,6293911.66126898,-0.20790147897696798
