,FINN-kode,Title,Address,Prisantydning,lat,lng,url,Omkostninger,Totalpris,Felleskost/mnd.,Boligtype,Eieform,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Rom,Tomteareal,Bruttoareal,Fellesformue,Formuesverdi,Fellesgjeld,Energimerking,Pris med fellesgjeld,Renovert år,Mobil,Eierskifte-forsikring,Kommunale avg.,Tomt,Festeavgift,Fax,Felleskost/mnd. etter avdragsfri periode,Sikringsordning,Grunnflate,Utleiedel,Verditakst,Låneverdi,Lånetakst,Telefon,price,area,price_per_m2,predicted_price,priceyness
159,162195339,"WALDEMARS HAGE-Lekker 3-roms hjørneleilighet m/heis og balkong - ""Alt"" inkludert i f.utgiftene - Garasjeplass kan kjøpes","Darres gate 16, 0172 Oslo",5790000.0,59.928017,10.754307,https://www.finn.no/realestate/homes/ad.html?finnkode=162195339,155900.0,5945900.0,3602.0,Leilighet,Eier (Selveier),2,71.0,71.0,5,2009,,3312.0,78.0,11786.0,1333793.0,,D - mørkegrønn,,,,Ja,,,,,,,,,,,,,5945900.0,71.0,83745.07042253521,5049304.213453963,0.16345145212482137
160,155281740,Sentrum/St.Hanshaugen - Attraktiv 2(3)-roms m/balkong. Vendt i sin helhet mot bakgård - Ingen f.gjeld - Renovert 2004,"Keysers gate 4, 0165 Oslo",3490000.0,59.91675,10.743231,https://www.finn.no/realestate/homes/ad.html?finnkode=155281740,98400.0,3588400.0,2092.0,Leilighet,Eier (Selveier),1,41.0,43.0,2,1880,,324.0,48.0,12632.0,943703.0,,G - rød,,,,Ja,,,,,,,,,,,,,3588400.0,43.0,83451.16279069768,3578571.5631125886,0.0027427046310997127
161,166108694,Ny og strøken 3-romsleilighet i 6.etasje - Sydvestv. balkong - P-plass med lader - Heis - Ingen dok.avgift - In-ordning,"Lørenveien 64B, 0585 Oslo",2800000.0,59.9293,10.7979,https://www.finn.no/realestate/homes/ad.html?finnkode=166108694,8219.0,5388219.0,8725.0,Leilighet,Andel,2,66.0,66.0,6,2018,3,1043.0,73.0,19827.0,1301680.0,2580000.0,B - mørkegrønn,,,988 09 826,,,,,,,,,,,,,,5388219.0,66.0,81639.68181818182,4786673.38303586,0.11837922550964741
162,166091385,"Flott, smart og arealeffektiv 3-roms med romslig balkong! Sentralt m/nærhet til både t-bane og marka. Vv/fyring inkl.","Bølerskrenten 14, 0691 Oslo",2990000.0,59.8809,10.843,https://www.finn.no/realestate/homes/ad.html?finnkode=166091385,8220.0,3061526.0,3306.0,Leilighet,Andel,2,55.0,55.0,4,1955,2,,60.0,,807498.0,63306.0,G - mørkegrønn,,,,,,Eiet,,,,,,,,,,,3061526.0,55.0,55664.10909090909,4208885.556116035,-0.31828441467104085
163,166243149,"Påkostet og nyoppusset 4-roms endeleil. med heis, peis, garasje og to balkonger beliggende i ambassadestrøket på Frogner","Drammensveien 53, 0271 Oslo",11700000.0,59.913162,10.70992,https://www.finn.no/realestate/homes/ad.html?finnkode=166243149,306122.0,12006122.0,4385.0,Leilighet,Eier (Selveier),3,102.0,102.0,4,1977,4,1761.0,112.0,,1985435.0,,F - rød,,,,Ja,,,,,,,,,,,,,12006122.0,102.0,117707.07843137255,6677615.362046199,0.5866557442780991
164,163428746,Lys 2-roms på 68 kvm. - Vestvendt balkong med flotte sol- og utsiktsforhold - Garasjeplass m/mulighet for lader - Heis,"Grefsenkollveien 21, 0490 Oslo",4500000.0,59.954494,10.798568,https://www.finn.no/realestate/homes/ad.html?finnkode=163428746,129372.0,4629372.0,2662.0,Leilighet,Eier (Selveier),1,68.0,68.0,3,2006,,5996.0,75.0,24000.0,1319667.0,,D - rød,,,,,,,,,,,,,,,,,4629372.0,68.0,68079.0,4891725.715203101,-0.055123926474689
165,165806434,Lys og tiltalende 1-roms med balkong | Mot bakgård | Spektakulær takterrasse | VV & Fyring inkl | Attraktiv beliggenhet,"Bygdøy allé 37, 0265 Oslo",3490000.0,59.9171,10.7096,https://www.finn.no/realestate/homes/ad.html?finnkode=165806434,93572.0,3604323.0,3195.0,Leilighet,Eier (Selveier),0,36.0,36.0,5,1969,1,610.0,40.0,3594.0,909583.0,20751.0,F - mørkegrønn,,,,,,,,,,,,,,,,,3604323.0,36.0,100120.08333333333,3210888.400527245,0.11558629923201025
166,166242386,Lys 3-roms med solfylt balkong - Parkering - Rolig område - Umiddelbar nærhet til togstasjon og matbutikk - Ingen dokavg,"Stjerneblokkveien 21, 1083 Oslo",2800000.0,59.95296,10.893359,https://www.finn.no/realestate/homes/ad.html?finnkode=166242386,15285.0,3083090.0,3837.0,Leilighet,Andel,2,66.0,66.0,1,1953,,81632.0,73.0,8975.0,824025.0,267805.0,E - rød,,,,Ja,,,,,,,,,,,,,3083090.0,66.0,46713.48484848485,4786673.38303586,-0.4399033372691381
167,166242665,"Pent og innbydende rekkehus med 3 soverom, garasje og kjøkken fra 2014. Bakhage med markterrasse. Meget barnevennlig.","Ravnåsveien 9H, 1254 Oslo",3890000.0,59.838238,10.793507,https://www.finn.no/realestate/homes/ad.html?finnkode=166242665,7960.0,4265960.0,6378.0,Rekkehus,Andel,3,96.0,103.0,,1982,,26508.0,112.0,32904.0,1065441.0,368000.0,F - gul,,,,Ja,,,,,,,,,,,,,4265960.0,103.0,41417.087378640776,6730141.528129819,-0.45592892933518847
168,166242423,"Attraktiv 3-roms endeleilighet i 4-mannsbolig med nytt kjøkken, garasje og solrik terrasse med utsikt. Markanært!","Nedslagsveien 6, 0687 Oslo",4600000.0,59.897827,10.853666,https://www.finn.no/realestate/homes/ad.html?finnkode=166242423,14535.0,4861022.0,4534.0,Leilighet,Andel,2,66.0,66.0,2,1964,3,28877.0,73.0,40016.0,893176.0,246487.0,D - oransje,,,,Ja,,,,,,,,,,,,,4861022.0,66.0,73651.84848484848,4786673.38303586,0.015413025778629574
