,Address,Boligtype,Bruksareal,Bruttoareal,Byggeår,Eieform,Eierskifte-forsikring,Energimerking,Etasje,FINN-kode,Fellesformue,Fellesgjeld,Felleskost/mnd.,Formuesverdi,Omkostninger,Primærrom,Prisantydning,Soverom,Title,Tomteareal,Totalpris,lat,lng,url,Rom,Kommunale avg.,Mobil,Renovert år,Festeavgift,Pris med fellesgjeld,Fax,Tomt,Felleskost/mnd. etter avdragsfri periode,Sikringsordning,Grunnflate,Utleiedel,Låneverdi,Verditakst,Lånetakst,Telefon
217,"Sars gate 39, 0564 Oslo",Leilighet,65.0,72.0,1951,Eier (Selveier),,E - oransje,2,166230571,90770.0,18495.0,3749.0,,127422.0,65.0,4400000.0,2,Lys og tiltalende 3-roms med sydvestvendt balkong - Gjennomgående planløsning - Kjøkken fra 2015 - Attraktiv beliggenhet,14089.0,4545918.0,59.922024,10.77286,https://www.finn.no/realestate/homes/ad.html?finnkode=166230571,,,,,124592.0,,,,,,,,,,,
218,"Wilses gate 1, 0178 Oslo",Leilighet,25.0,28.0,1880,Andel,,G - rød,2,166230319,45461.0,247742.0,2385.0,683838.0,7932.0,25.0,2690000.0,1,Delikat og lekker 2-roms vendt mot bakgård - Praktisk planløsning og ingen forkjøpsrett. Ditt nye hjem midt i sentrum?,233.0,2945674.0,59.918396,10.748751,https://www.finn.no/realestate/homes/ad.html?finnkode=166230319,2,,,,,,,,,,,,,,,
219,"Ullern Alle 15, 0381 Oslo",Leilighet,106.0,116.0,1983,Eier (Selveier),Ja,F - oransje,1,166229351,16165.0,74000.0,3950.0,,,106.0,7500000.0,2,Ullern - Lekker påkostet leilighet med egen plen og balkong. Peis. Garasjeplass. Gode solforhold.,14211.0,,59.927425,10.643725,https://www.finn.no/realestate/homes/ad.html?finnkode=166229351,4,,,,,7574000.0,,,,,,,,,,
220,"Bølerveien 6 B, 0690 Oslo",Rekkehus,117.0,130.0,2018,Eier (Selveier),,B - oransje,,166026964,,214.0,3073.0,1851527.0,238727.0,111.0,9500000.0,3,Toppmoderne rekkehus fra 2018 med fin hage og 2 garasjeplasser. Barnevennlig og populært område,116.0,9738941.0,59.8876,10.8415,https://www.finn.no/realestate/homes/ad.html?finnkode=166026964,,,,,,,,,,,,,,,,
221,"Tokerudberget 39, 0986 Oslo",Leilighet,118.0,128.0,1972,Eier (Selveier),,F - rød,4,165894994,35195.0,178000.0,5289.0,1085951.0,102772.0,112.0,3600000.0,4,Svært romslig 5-roms over to plan - 2 bad/wc - Utsikt - Godt vedlikeholdt - Varmtvann inkl. - Få følelsen av rekkehus!,21484.0,3880772.0,59.9636,10.926,https://www.finn.no/realestate/homes/ad.html?finnkode=165894994,5,,,,,,,,,,,,,,,
222,"Sons gate 19, 0654 Oslo",Leilighet,66.0,73.0,1933,Aksje,,F - oransje,2,166188270,22520.0,98386.0,3720.0,1060762.0,12075.0,65.0,4500000.0,2,Lys og pen 3-roms med gj. gående planløsning og balkong. kollektivtransport og servicetilbud. Ingen dok. avgift/forkjøp!,,4610461.0,59.9147,10.783,https://www.finn.no/realestate/homes/ad.html?finnkode=166188270,3,,,,,,,Eiet,,,,,,,,
223,"Rødtvetveien 35, 0955 Oslo",Leilighet,65.0,72.0,1963,Andel,,F - mørkegrønn,5,165896094,29140.0,99561.0,3454.0,805688.0,1032.0,65.0,3200000.0,2,"Attraktiv 3-r med lekkert nytt kjøkken, god planløsning og solrik balkong med fin utsikt. Fjernvarme!",4737.0,3300593.0,59.953,10.862,https://www.finn.no/realestate/homes/ad.html?finnkode=165896094,3,,,,,,,,,,,,,,,
224,"Stovnerfaret 130, 0982 Oslo",Rekkehus,133.0,148.0,1966,Andel,,C - rød,,165906364,21158.0,177000.0,4330.0,1231720.0,8719.0,132.0,4600000.0,3,Gamle Stovner: Rekkehus over tre plan - 3 soverom - 2 bad/wc - Kjellerstue - Peis - Utsikt - Hage.,15866.0,4785719.0,59.9542,10.9314,https://www.finn.no/realestate/homes/ad.html?finnkode=165906364,4,,,,,,,,,,,,,,,
225,"Garver Ytteborgs vei 93A, 0977 Oslo",Leilighet,62.0,68.0,1979,Andel,,D - rød,4,164275290,6920.0,18000.0,2703.0,631747.0,8219.0,53.0,2400000.0,1,"Stor 2-roms leilighet med vestvendt, innglasset balkong - Varmtvann inkludert  - God planløsning - Moderniseringsbehov",9696.0,2426219.0,59.9523,10.9121,https://www.finn.no/realestate/homes/ad.html?finnkode=164275290,,,478 53 873,,,,,,,,,,,,,
226,"Gladengveien 15C, 0661 Oslo",Leilighet,61.0,67.0,2012,Eier (Selveier),,D - mørkegrønn,3,165763806,9171.0,,3564.0,1270829.0,111222.0,61.0,4400000.0,2,"Sjarmerende 3-roms eierseksjon fra 2012 - Heis, solrik balkong og felles takterrasse - Nærhet til butikk og T-bane",4217.0,4511222.0,59.917,10.793,https://www.finn.no/realestate/homes/ad.html?finnkode=165763806,3,,482 65 908,,1176000.0,,,,,,,,,,,
