,FINN-kode,Title,Address,Prisantydning,lat,lng,url,Fellesgjeld,Omkostninger,Totalpris,Felleskost/mnd.,Boligtype,Eieform,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Energimerking,Rom,Tomteareal,Bruttoareal,Fellesformue,Eierskifte-forsikring,Formuesverdi,Mobil,Kommunale avg.,Renovert år,Tomt,Telefon,Festeavgift,Verditakst,Pris med fellesgjeld,Lånetakst,Fax,Felleskost/mnd. etter avdragsfri periode,Sikringsordning,Grunnflate,Utleiedel,Låneverdi,price,area,price_per_m2,predicted_price,priceyness
1237,157997652,Enderekkehuset har en super beliggenhet - usjenert - solrikt - rolig- hage - terrasser - eldorado for barnefamilier!,"Drengsrudhagen 168, 1385 Asker",5800000.0,59.8209,10.3906,https://www.finn.no/realestate/homes/ad.html?finnkode=157997652,,146222.0,5946222.0,,Rekkehus,Eier (Selveier),4,104.0,106.0,2,1982,E - gul,5,352.0,116.0,,,1259400.0,911 04 986,14071.0,,,,,,,,,,,,,,5946222.0,106.0,56096.43396226415,5342767.997250998,0.10701218968367243
1239,158040737,"KLEMTSRUD - Meget eksklusiv, ny 2-mannsbolig i funkis stil under oppføring - store uteplasser - dobbel garasje","Enebakkveien 446, 1279 Oslo",7490000.0,59.83324,10.856745,https://www.finn.no/realestate/homes/ad.html?finnkode=158040737,,202372.0,7692372.0,,Tomannsbolig,Eier (Selveier),,,174.0,,,,6,1393.0,,,,,,,,,,,,,,,,,,,,7692372.0,174.0,44209.03448275862,7245428.032413235,0.05985853476593128
1240,158039598,"KLEMTSRUD - Meget eksklusiv, ny 2-mannsbolig i funkis stil under oppføring - store uteplasser - dobbel garasje","Enebakkveien 446, 1279 Oslo",7490000.0,59.83324,10.856745,https://www.finn.no/realestate/homes/ad.html?finnkode=158039598,,202372.0,7692372.0,,Tomannsbolig,Eier (Selveier),,,174.4,,,,6,1393.0,,,,,,,,,,,,,,,,,,,,7692372.0,174.4,44107.6376146789,7256620.150267132,0.05831501209451595
1241,155784492,Flott strandeiendom på Nesøya med egen strand og tilgang til bryggeanlegg.,"Vendla 56, 1397 Nesøya",16500000.0,59.860107,10.526909,https://www.finn.no/realestate/homes/ad.html?finnkode=155784492,,427650.0,16927650.0,,Enebolig,Eier (Selveier),4,270.0,306.0,,1921,G - gul,,1368.0,333.0,,,2437178.0,,8500.0,,,,,,,,,,,,,,16927650.0,306.0,55319.117647058825,10938826.924198758,0.43662981654965094
1242,155841019,"Stor enebolig med mulighet for mange soverom, beliggende  mellom Lillestrøm og Fetsund.","Eikholen 5, 1900 Fetsund",5950000.0,59.948368,11.111702,https://www.finn.no/realestate/homes/ad.html?finnkode=155841019,,150000.0,6100000.0,,Enebolig,Eier (Selveier),3,252.0,272.0,,1975,F - oransje,,1765.0,317.0,,Ja,1281828.0,,31565.0,,,,,,,,,,,,,,6100000.0,272.0,22426.470588235294,9987496.906617638,-0.493045230187688
1243,133368009,"Romslig og trivelig 3-roms leilighet med terrasse, parkering, solrike fellesområder og kort gangavstand til skoler.","Vollaveien 18, 1940 Bjørkelangen",2470000.0,59.88113,11.5556135,https://www.finn.no/realestate/homes/ad.html?finnkode=133368009,,75722.0,2545722.0,2090.0,Leilighet,Eier (Selveier),2,69.0,69.0,,1989,,,1394.0,76.0,52150.0,Ja,441643.0,,9964.0,,,,,,,,,,,,,,2545722.0,69.0,36894.52173913043,4307497.095765662,-0.5259427119065752
1244,157963531,"Attraktiv eiendom på ca. 3 mål med eldre enebolig, uthus/stall og koie. Gode solforhold. 800 m fra dagligvarebutikk.","Skråningen 2, 1960 Løken",2000000.0,59.810497,11.383516,https://www.finn.no/realestate/homes/ad.html?finnkode=157963531,,65122.0,2065122.0,,Enebolig,Eier (Selveier),3,88.0,88.0,,1946,,,3085.0,93.0,,Ja,,,14731.0,,,,,,,,,,,,,,2065122.0,88.0,23467.295454545456,4839122.693825699,-0.8515441381214135
1245,157934074,Pen 1/2-tomannsbolig med fjordutsikt i attraktivt nabolag. Kort gangavstand til Hofstad barneskole og Høn togstasjon.,"Hofstadgata 40A, 1384 Asker",5990000.0,59.84655,10.464084,https://www.finn.no/realestate/homes/ad.html?finnkode=157934074,,164900.0,6154900.0,,Tomannsbolig,Eier (Selveier),3,113.0,119.0,,1971,F - rød,,1419.0,131.0,,,,,15000.0,,,,,,,,,,,,,,6154900.0,119.0,51721.8487394958,5706511.827502603,0.07564056390444307
1246,150238655,"Lekker og innholdsrik 3-roms andelsleilighet med solrik balkong, rett ved T-banen","Frydenbergveien 50, 0575 Oslo",4790000.0,59.928658,10.790862,https://www.finn.no/realestate/homes/ad.html?finnkode=150238655,72610.0,5132.0,4867742.0,4248.0,Leilighet,Andel,2,60.0,60.0,5,2008,,,436.0,60.0,8696.0,,,,,,,,,,,,,,,,,,4867742.0,60.0,81129.03333333334,4055674.444053013,0.18251317674794088
1247,157562002,SALG AV KONTRAKT: Attraktiv 3-roms i 3. etg. med moderne standard - To balkonger - Garasjeplass,"Segelckes vei - Trævarefabrikken hus A, leil. 27, 2010 Strømmen",4090000.0,59.9516,11.0095,https://www.finn.no/realestate/homes/ad.html?finnkode=157562002,,,,1640.0,Leilighet,Eier (Selveier),2,55.0,58.0,3,,,3,9930.0,,,,,,,,,,,,,,,,,,,,4090000.0,58.0,70517.24137931035,3999713.854783536,0.02232214779778019
1249,157901552,"Ny og eksklusiv, sør-vestvendt selveierleilighet i 5 etg. Solrik balkong. Heis.","Bankveien 4 - Wesselkvartalet 507, 1383 Asker",7800000.0,59.834763,10.433832,https://www.finn.no/realestate/homes/ad.html?finnkode=157901552,,12650.0,7812650.0,,Leilighet,Eier (Selveier),2,67.3,71.2,,2019,,3,2656.0,,,,,,,,,,,,,,,,,,,,7812650.0,71.2,109728.23033707865,4369053.743962088,0.581197763780148
1250,153997031,"Nydelig, innholdsrik 1/2-part tomannsbolig fra 2017 | Svært barnevennlig | 2 bad & 2 stuer | Garasje | Tre uteplasser","Rognvegen 26, 2022 Gjerdrum",4750000.0,60.077232,11.035707,https://www.finn.no/realestate/homes/ad.html?finnkode=153997031,,132649.0,4882649.0,928.0,Tomannsbolig,Eier (Selveier),3,139.0,167.0,,2017,B - rød,5,183.0,187.0,,Ja,1230077.0,,,,,,,,,,,,,,,,4882649.0,167.0,29237.419161676647,7049565.969970064,-0.36727814992959473
